Target,MAE,RMSE,R2,MAPE
effectiveness,0.005668233148753643,0.007628224521568633,0.9926804304122925,0.677067
pressure_drop_total_Pa,3627.87109375,7380.83491212207,0.997425377368927,6.631345
overall_heat_transfer_coefficient_U_W_m2K,97.7348403930664,141.72797310120185,0.9987000226974487,1.7303205
