Target,MLP_R2,PINN_R2,TRANSFORMER_R2,PITT_R2,MLP_RMSE,PINN_RMSE,TRANSFORMER_RMSE,PITT_RMSE
effectiveness,0.9926804304122925,0.9923166632652283,0.9916984438896179,0.9732468724250793,0.007628224760023778,0.007815503869139002,0.008123824830934323,0.014583732330857828
pressure_drop_total_Pa,0.997425377368927,0.9970749616622925,0.9967827200889587,-0.0007936954498291016,7380.8335572616725,7867.105185517733,8250.793416393359,145520.08356237292
overall_heat_transfer_coefficient_U_W_m2K,0.9987000226974487,0.9985101819038391,0.9983736276626587,-0.023699522018432617,141.72797310120185,151.7235999482282,158.52651592083893,3977.1814140167153
